"","date","NO2[ppb]","V2"
"1",2018-12-13 16:00:00,31.4430060261905,1
"2",2018-12-13 16:10:00,29.4188839166667,2
"3",2018-12-13 16:20:00,33.7072602696153,3
"4",2018-12-13 16:30:00,30.4688721416666,4
"5",2018-12-13 16:40:00,29.9549782228571,5
"6",2018-12-13 16:50:00,29.954231245,6
"7",2018-12-13 17:00:00,30.0117262033333,7
"8",2018-12-13 17:10:00,28.0444090183333,8
"9",2018-12-13 17:20:00,26.0249330191666,9
"10",2018-12-13 17:30:00,29.2871863855556,10
"11",2018-12-13 17:40:00,28.340716345,11
"12",2018-12-13 17:50:00,NA,12
"13",2018-12-13 18:00:00,26.8659644835714,13
"14",2018-12-13 18:10:00,26.4649796483333,14
"15",2018-12-13 18:20:00,24.78837026,15
"16",2018-12-13 18:30:00,23.8913404666667,16
"17",2018-12-13 18:40:00,22.10802372,17
"18",2018-12-13 18:50:00,18.7790555892191,18
"19",2018-12-13 19:00:00,18.6916837397619,19
"20",2018-12-13 19:10:00,18.5435798734127,20
"21",2018-12-13 19:20:00,17.700392882619,21
"22",2018-12-13 19:30:00,17.0022210209524,22
"23",2018-12-13 19:40:00,17.0381953983333,23
"24",2018-12-13 19:50:00,15.7998841352381,24
"25",2018-12-13 20:00:00,15.8671408066667,25
"26",2018-12-13 20:10:00,15.0282146351709,26
"27",2018-12-13 20:20:00,15.8151816503922,27
"28",2018-12-13 20:30:00,15.9610932177778,28
"29",2018-12-13 20:40:00,15.5083416180054,29
"30",2018-12-13 20:50:00,NA,30
"31",2018-12-13 21:00:00,16.0599326544739,31
"32",2018-12-13 21:10:00,15.5182600585004,32
"33",2018-12-13 21:20:00,15.7659187159746,33
"34",2018-12-13 21:30:00,16.2947170651082,34
"35",2018-12-13 21:40:00,16.6507668829653,35
"36",2018-12-13 21:50:00,17.5240581375397,36
"37",2018-12-13 22:00:00,15.944589129697,37
"38",2018-12-13 22:10:00,15.8651949462346,38
"39",2018-12-13 22:20:00,15.9978602181041,39
"40",2018-12-13 22:30:00,16.3650284532367,40
"41",2018-12-13 22:40:00,16.2464595865701,41
"42",2018-12-13 22:50:00,15.3320264132051,42
"43",2018-12-13 23:00:00,15.3504136197708,43
"44",2018-12-13 23:10:00,15.5747969196653,44
"45",2018-12-13 23:20:00,15.6389015157143,45
"46",2018-12-13 23:30:00,14.9429910086035,46
"47",2018-12-13 23:40:00,15.4327310720513,47
"48",2018-12-13 23:50:00,NA,48
"49",2018-12-14 00:00:00,14.7736799880556,49
"50",2018-12-14 00:10:00,13.9216945505555,50
"51",2018-12-14 00:20:00,14.0479691705555,51
"52",2018-12-14 00:30:00,14.07950371,52
"53",2018-12-14 00:40:00,14.236574355,53
"54",2018-12-14 00:50:00,13.6071578269604,54
"55",2018-12-14 01:00:00,13.3000503554166,55
"56",2018-12-14 01:10:00,11.3177503911905,56
"57",2018-12-14 01:20:00,13.3959577649082,57
"58",2018-12-14 01:30:00,13.714425885,58
"59",2018-12-14 01:40:00,13.61259398,59
"60",2018-12-14 01:50:00,13.0001759329288,60
"61",2018-12-14 02:00:00,13.9379694060714,61
"62",2018-12-14 02:10:00,13.35974373259,62
"63",2018-12-14 02:20:00,13.5602321373519,63
"64",2018-12-14 02:30:00,12.3612169861688,64
"65",2018-12-14 02:40:00,13.4494778896403,65
"66",2018-12-14 02:50:00,NA,66
"67",2018-12-14 03:00:00,11.8731241184848,67
"68",2018-12-14 03:10:00,12.1435927109524,68
"69",2018-12-14 03:20:00,12.1375626266071,69
"70",2018-12-14 03:30:00,12.5934910728571,70
"71",2018-12-14 03:40:00,12.0979126916071,71
"72",2018-12-14 03:50:00,12.1402166316755,72
